@relation ??

@attribute id {ID12101,ID12102,ID12103,ID12104,ID12105,ID12106,ID12107,ID12108,ID12109,ID12110,ID12111,ID12112,ID12113,ID12114,ID12115,ID12116,ID12117,ID12118,ID12119,ID12120,ID12121,ID12122,ID12123,ID12124,ID12125,ID12126,ID12127,ID12128,ID12129,ID12130,ID12131,ID12132,ID12133,ID12134,ID12135,ID12136,ID12137,ID12138,ID12139,ID12140,ID12141,ID12142,ID12143,ID12144,ID12145,ID12146,ID12147,ID12148,ID12149,ID12150,ID12151,ID12152,ID12153,ID12154,ID12155,ID12156,ID12157,ID12158,ID12159,ID12160,ID12161,ID12162,ID12163,ID12164,ID12165,ID12166,ID12167,ID12168,ID12169,ID12170,ID12171,ID12172,ID12173,ID12174,ID12175,ID12176,ID12177,ID12178,ID12179,ID12180,ID12181,ID12182,ID12183,ID12184,ID12185,ID12186,ID12187,ID12188,ID12189,ID12190,ID12191,ID12192,ID12193,ID12194,ID12195,ID12196,ID12197,ID12198,ID12199,ID12200,ID12201,ID12202,ID12203,ID12204,ID12205,ID12206,ID12207,ID12208,ID12209,ID12210,ID12211,ID12212,ID12213,ID12214,ID12215,ID12216,ID12217,ID12218,ID12219,ID12220,ID12221,ID12222,ID12223,ID12224,ID12225,ID12226,ID12227,ID12228,ID12229,ID12230,ID12231,ID12232,ID12233,ID12234,ID12235,ID12236,ID12237,ID12238,ID12239,ID12240,ID12241,ID12242,ID12243,ID12244,ID12245,ID12246,ID12247,ID12248,ID12249,ID12250,ID12251,ID12252,ID12253,ID12254,ID12255,ID12256,ID12257,ID12258,ID12259,ID12260,ID12261,ID12262,ID12263,ID12264,ID12265,ID12266,ID12267,ID12268,ID12269,ID12270,ID12271,ID12272,ID12273,ID12274,ID12275,ID12276,ID12277,ID12278,ID12279,ID12280,ID12281,ID12282,ID12283,ID12284,ID12285,ID12286,ID12287,ID12288,ID12289,ID12290,ID12291,ID12292,ID12293,ID12294,ID12295,ID12296,ID12297,ID12298,ID12299,ID12300,ID12301,ID12302,ID12303,ID12304,ID12305,ID12306,ID12307,ID12308,ID12309,ID12310,ID12311,ID12312,ID12313,ID12314,ID12315,ID12316,ID12317,ID12318,ID12319,ID12320,ID12321,ID12322,ID12323,ID12324,ID12325,ID12326,ID12327,ID12328,ID12329,ID12330,ID12331,ID12332,ID12333,ID12334,ID12335,ID12336,ID12337,ID12338,ID12339,ID12340,ID12341,ID12342,ID12343,ID12344,ID12345,ID12346,ID12347,ID12348,ID12349,ID12350,ID12351,ID12352,ID12353,ID12354,ID12355,ID12356,ID12357,ID12358,ID12359,ID12360,ID12361,ID12362,ID12363,ID12364,ID12365,ID12366,ID12367,ID12368,ID12369,ID12370,ID12371,ID12372,ID12373,ID12374,ID12375,ID12376,ID12377,ID12378,ID12379,ID12380,ID12381,ID12382,ID12383,ID12384,ID12385,ID12386,ID12387,ID12388,ID12389,ID12390,ID12391,ID12392,ID12393,ID12394,ID12395,ID12396,ID12397,ID12398,ID12399,ID12400,ID12401,ID12402,ID12403,ID12404,ID12405,ID12406,ID12407,ID12408,ID12409,ID12410,ID12411,ID12412,ID12413,ID12414,ID12415,ID12416,ID12417,ID12418,ID12419,ID12420,ID12421,ID12422,ID12423,ID12424,ID12425,ID12426,ID12427,ID12428,ID12429,ID12430,ID12431,ID12432,ID12433,ID12434,ID12435,ID12436,ID12437,ID12438,ID12439,ID12440,ID12441,ID12442,ID12443,ID12444,ID12445,ID12446,ID12447,ID12448,ID12449,ID12450,ID12451,ID12452,ID12453,ID12454,ID12455,ID12456,ID12457,ID12458,ID12459,ID12460,ID12461,ID12462,ID12463,ID12464,ID12465,ID12466,ID12467,ID12468,ID12469,ID12470,ID12471,ID12472,ID12473,ID12474,ID12475,ID12476,ID12477,ID12478,ID12479,ID12480,ID12481,ID12482,ID12483,ID12484,ID12485,ID12486,ID12487,ID12488,ID12489,ID12490,ID12491,ID12492,ID12493,ID12494,ID12495,ID12496,ID12497,ID12498,ID12499,ID12500,ID12501,ID12502,ID12503,ID12504,ID12505,ID12506,ID12507,ID12508,ID12509,ID12510,ID12511,ID12512,ID12513,ID12514,ID12515,ID12516,ID12517,ID12518,ID12519,ID12520,ID12521,ID12522,ID12523,ID12524,ID12525,ID12526,ID12527,ID12528,ID12529,ID12530,ID12531,ID12532,ID12533,ID12534,ID12535,ID12536,ID12537,ID12538,ID12539,ID12540,ID12541,ID12542,ID12543,ID12544,ID12545,ID12546,ID12547,ID12548,ID12549,ID12550,ID12551,ID12552,ID12553,ID12554,ID12555,ID12556,ID12557,ID12558,ID12559,ID12560,ID12561,ID12562,ID12563,ID12564,ID12565,ID12566,ID12567,ID12568,ID12569,ID12570,ID12571,ID12572,ID12573,ID12574,ID12575,ID12576,ID12577,ID12578,ID12579,ID12580,ID12581,ID12582,ID12583,ID12584,ID12585,ID12586,ID12587,ID12588,ID12589,ID12590,ID12591,ID12592,ID12593,ID12594,ID12595,ID12596,ID12597,ID12598,ID12599,ID12600,ID12601,ID12602,ID12603,ID12604,ID12605,ID12606,ID12607,ID12608,ID12609,ID12610,ID12611,ID12612,ID12613,ID12614,ID12615,ID12616,ID12617,ID12618,ID12619,ID12620,ID12621,ID12622,ID12623,ID12624,ID12625,ID12626,ID12627,ID12628,ID12629,ID12630,ID12631,ID12632,ID12633,ID12634,ID12635,ID12636,ID12637,ID12638,ID12639,ID12640,ID12641,ID12642,ID12643,ID12644,ID12645,ID12646,ID12647,ID12648,ID12649,ID12650,ID12651,ID12652,ID12653,ID12654,ID12655,ID12656,ID12657,ID12658,ID12659,ID12660,ID12661,ID12662,ID12663,ID12664,ID12665,ID12666,ID12667,ID12668,ID12669,ID12670,ID12671,ID12672,ID12673,ID12674,ID12675,ID12676,ID12677,ID12678,ID12679,ID12680,ID12681,ID12682,ID12683,ID12684,ID12685,ID12686,ID12687,ID12688,ID12689,ID12690,ID12691,ID12692,ID12693,ID12694,ID12695,ID12696,ID12697,ID12698,ID12699,ID12700}
@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
ID12101,48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES
ID12102,40,MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO
ID12103,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO
ID12104,23,FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO
ID12105,57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO
ID12106,57,FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES
ID12107,22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES
ID12108,58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO
ID12109,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO
ID12110,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO
ID12111,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO
ID12112,52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO
ID12113,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES
ID12114,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES
ID12115,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO
ID12116,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO
ID12117,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO
ID12118,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO
ID12119,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES
ID12120,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
ID12121,61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES
ID12122,50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO
ID12123,54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO
ID12124,27,FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO
ID12125,22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO
ID12126,56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO
ID12127,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO
ID12128,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES
ID12129,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO
ID12130,61,MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES
ID12131,61,FEMALE,RURAL,22942.9,YES,2,NO,YES,YES,NO,NO
ID12132,20,FEMALE,TOWN,16325.8,YES,2,NO,YES,NO,NO,NO
ID12133,45,MALE,SUBURBAN,23443.2,YES,1,YES,YES,YES,NO,YES
ID12134,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO
ID12135,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES
ID12136,27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO,NO
ID12137,19,MALE,RURAL,10953,YES,3,YES,YES,YES,NO,NO
ID12138,36,FEMALE,RURAL,13381,NO,0,YES,NO,YES,NO,YES
ID12139,43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO
ID12140,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO,YES,NO,NO
ID12141,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,YES
ID12142,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,NO
ID12143,67,MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,YES
ID12144,32,FEMALE,TOWN,27571.5,YES,0,YES,NO,YES,YES,NO
ID12145,20,MALE,INNER_CITY,13740,NO,2,YES,YES,YES,YES,NO
ID12146,64,MALE,INNER_CITY,52670.6,YES,2,NO,YES,YES,YES,YES
ID12147,50,FEMALE,INNER_CITY,13283.9,NO,1,YES,YES,YES,NO,YES
ID12148,29,MALE,INNER_CITY,13106.6,NO,2,NO,YES,YES,YES,YES
ID12149,52,MALE,INNER_CITY,39547.8,NO,2,YES,NO,YES,NO,YES
ID12150,47,FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO,NO
ID12151,24,MALE,TOWN,14309.7,NO,2,YES,YES,NO,NO,NO
ID12152,36,MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO,NO
ID12153,43,MALE,TOWN,16259.7,YES,1,NO,YES,YES,NO,YES
ID12154,48,MALE,SUBURBAN,29794.1,NO,1,NO,YES,YES,NO,YES
ID12155,63,MALE,TOWN,56842.5,YES,0,NO,YES,YES,YES,NO
ID12156,52,FEMALE,RURAL,47835.8,NO,3,NO,YES,NO,NO,YES
ID12157,58,FEMALE,INNER_CITY,24977.5,NO,0,NO,NO,YES,NO,YES
ID12158,28,MALE,INNER_CITY,23124.9,YES,0,NO,YES,YES,NO,YES
ID12159,29,FEMALE,INNER_CITY,15143.8,YES,0,NO,NO,YES,NO,NO
ID12160,34,MALE,INNER_CITY,25334.3,NO,1,YES,YES,YES,YES,YES
ID12161,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES,YES
ID12162,65,FEMALE,INNER_CITY,36589,NO,1,YES,NO,YES,NO,YES
ID12163,47,MALE,INNER_CITY,27022.6,YES,2,NO,YES,YES,NO,NO
ID12164,20,MALE,INNER_CITY,11700.4,YES,0,NO,YES,NO,NO,NO
ID12165,21,MALE,TOWN,5014.21,NO,0,YES,YES,YES,YES,NO
ID12166,42,MALE,INNER_CITY,17390.1,YES,0,NO,YES,YES,NO,NO
ID12167,19,MALE,TOWN,10861,NO,2,NO,YES,YES,NO,NO
ID12168,41,FEMALE,TOWN,34892.9,NO,0,NO,YES,YES,YES,NO
ID12169,30,MALE,TOWN,19403.1,NO,2,NO,YES,YES,NO,NO
ID12170,31,FEMALE,RURAL,10441.9,YES,2,NO,NO,YES,NO,YES
ID12171,25,MALE,INNER_CITY,14064.9,YES,3,YES,YES,YES,NO,NO
ID12172,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,NO,YES
ID12173,36,MALE,INNER_CITY,31982,YES,3,YES,YES,YES,YES,YES
ID12174,58,FEMALE,INNER_CITY,23197.5,YES,2,NO,YES,NO,YES,NO
ID12175,64,FEMALE,INNER_CITY,52674,NO,2,YES,YES,YES,NO,YES
ID12176,59,FEMALE,RURAL,35610.5,NO,2,YES,NO,NO,NO,YES
ID12177,45,FEMALE,TOWN,26948,NO,0,NO,YES,YES,YES,NO
ID12178,61,MALE,INNER_CITY,49456.7,YES,1,YES,YES,YES,YES,YES
ID12179,30,FEMALE,INNER_CITY,14724.5,YES,0,YES,NO,YES,NO,NO
ID12180,58,FEMALE,TOWN,34524.9,YES,2,YES,YES,NO,NO,YES
ID12181,50,FEMALE,TOWN,22052.1,NO,3,NO,YES,YES,NO,YES
ID12182,30,MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,NO,NO
ID12183,29,FEMALE,INNER_CITY,12591.4,YES,1,NO,YES,YES,NO,NO
ID12184,35,MALE,INNER_CITY,16394.4,YES,1,NO,YES,YES,NO,YES
ID12185,62,MALE,INNER_CITY,24026.1,YES,0,NO,NO,YES,YES,YES
ID12186,36,MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,NO,YES
ID12187,25,FEMALE,INNER_CITY,15525,YES,0,NO,YES,YES,NO,NO
ID12188,66,FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,YES,NO
ID12189,30,MALE,SUBURBAN,15848.7,YES,0,YES,YES,NO,YES,NO
ID12190,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,YES,NO,YES
ID12191,37,MALE,TOWN,24814.5,YES,1,YES,NO,YES,YES,YES
ID12192,28,FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,YES,NO
ID12193,53,FEMALE,RURAL,34866.5,NO,0,NO,NO,YES,NO,YES
ID12194,61,MALE,INNER_CITY,42579.1,YES,2,YES,YES,YES,NO,NO
ID12195,61,FEMALE,INNER_CITY,41127.4,YES,0,YES,YES,NO,NO,NO
